LENGTH	ENCODING_TYPE	MESSAGE_TYPE	MESSAGE_SIZE
10	GRPC	ENGLISH_MESSAGE	23282
10	GRPC	CHINESE_MESSAGE	27242
20	GRPC	ENGLISH_MESSAGE	46562
20	GRPC	CHINESE_MESSAGE	54482
30	GRPC	ENGLISH_MESSAGE	69842
30	GRPC	CHINESE_MESSAGE	81722
40	GRPC	ENGLISH_MESSAGE	93122
40	GRPC	CHINESE_MESSAGE	108962
50	GRPC	ENGLISH_MESSAGE	116402
50	GRPC	CHINESE_MESSAGE	136202
60	GRPC	ENGLISH_MESSAGE	139682
60	GRPC	CHINESE_MESSAGE	163442
70	GRPC	ENGLISH_MESSAGE	162962
70	GRPC	CHINESE_MESSAGE	190682
80	GRPC	ENGLISH_MESSAGE	186242
80	GRPC	CHINESE_MESSAGE	217922
90	GRPC	ENGLISH_MESSAGE	209522
90	GRPC	CHINESE_MESSAGE	245162
100	GRPC	ENGLISH_MESSAGE	232802
100	GRPC	CHINESE_MESSAGE	272402
110	GRPC	ENGLISH_MESSAGE	256082
110	GRPC	CHINESE_MESSAGE	299642
120	GRPC	ENGLISH_MESSAGE	279362
120	GRPC	CHINESE_MESSAGE	326882
130	GRPC	ENGLISH_MESSAGE	302642
130	GRPC	CHINESE_MESSAGE	354122
140	GRPC	ENGLISH_MESSAGE	325922
140	GRPC	CHINESE_MESSAGE	381362
150	GRPC	ENGLISH_MESSAGE	349202
150	GRPC	CHINESE_MESSAGE	408602
160	GRPC	ENGLISH_MESSAGE	372482
160	GRPC	CHINESE_MESSAGE	435842
170	GRPC	ENGLISH_MESSAGE	395762
170	GRPC	CHINESE_MESSAGE	463082
180	GRPC	ENGLISH_MESSAGE	419042
180	GRPC	CHINESE_MESSAGE	490322
190	GRPC	ENGLISH_MESSAGE	442322
190	GRPC	CHINESE_MESSAGE	517562
200	GRPC	ENGLISH_MESSAGE	465602
200	GRPC	CHINESE_MESSAGE	544802
210	GRPC	ENGLISH_MESSAGE	488882
210	GRPC	CHINESE_MESSAGE	572042
220	GRPC	ENGLISH_MESSAGE	512162
220	GRPC	CHINESE_MESSAGE	599282
230	GRPC	ENGLISH_MESSAGE	535442
230	GRPC	CHINESE_MESSAGE	626522
240	GRPC	ENGLISH_MESSAGE	558722
240	GRPC	CHINESE_MESSAGE	653762
250	GRPC	ENGLISH_MESSAGE	582002
250	GRPC	CHINESE_MESSAGE	681002
260	GRPC	ENGLISH_MESSAGE	605282
260	GRPC	CHINESE_MESSAGE	708242
270	GRPC	ENGLISH_MESSAGE	628562
270	GRPC	CHINESE_MESSAGE	735482
280	GRPC	ENGLISH_MESSAGE	651842
280	GRPC	CHINESE_MESSAGE	762722
290	GRPC	ENGLISH_MESSAGE	675122
290	GRPC	CHINESE_MESSAGE	789962
300	GRPC	ENGLISH_MESSAGE	698402
300	GRPC	CHINESE_MESSAGE	817202
310	GRPC	ENGLISH_MESSAGE	721682
310	GRPC	CHINESE_MESSAGE	844442
320	GRPC	ENGLISH_MESSAGE	744962
320	GRPC	CHINESE_MESSAGE	871682
330	GRPC	ENGLISH_MESSAGE	768242
330	GRPC	CHINESE_MESSAGE	898922
340	GRPC	ENGLISH_MESSAGE	791522
340	GRPC	CHINESE_MESSAGE	926162
350	GRPC	ENGLISH_MESSAGE	814802
350	GRPC	CHINESE_MESSAGE	953402
360	GRPC	ENGLISH_MESSAGE	838082
360	GRPC	CHINESE_MESSAGE	980642
370	GRPC	ENGLISH_MESSAGE	861362
370	GRPC	CHINESE_MESSAGE	1007882
380	GRPC	ENGLISH_MESSAGE	884642
380	GRPC	CHINESE_MESSAGE	1035122
390	GRPC	ENGLISH_MESSAGE	907922
390	GRPC	CHINESE_MESSAGE	1062362
400	GRPC	ENGLISH_MESSAGE	931202
400	GRPC	CHINESE_MESSAGE	1089602
410	GRPC	ENGLISH_MESSAGE	954482
410	GRPC	CHINESE_MESSAGE	1116842
420	GRPC	ENGLISH_MESSAGE	977762
420	GRPC	CHINESE_MESSAGE	1144082
430	GRPC	ENGLISH_MESSAGE	1001042
430	GRPC	CHINESE_MESSAGE	1171322
440	GRPC	ENGLISH_MESSAGE	1024322
440	GRPC	CHINESE_MESSAGE	1198562
450	GRPC	ENGLISH_MESSAGE	1047602
450	GRPC	CHINESE_MESSAGE	1225802
460	GRPC	ENGLISH_MESSAGE	1070882
460	GRPC	CHINESE_MESSAGE	1253042
470	GRPC	ENGLISH_MESSAGE	1094162
470	GRPC	CHINESE_MESSAGE	1280282
480	GRPC	ENGLISH_MESSAGE	1117442
480	GRPC	CHINESE_MESSAGE	1307522
490	GRPC	ENGLISH_MESSAGE	1140722
490	GRPC	CHINESE_MESSAGE	1334762
500	GRPC	ENGLISH_MESSAGE	1164002
500	GRPC	CHINESE_MESSAGE	1362002
